Date,Day,Is_Weekend,Is_Holiday,Area_Name,Latitude,Longitude,Time,Traffic_Volume,Avg_Speed_kmph,Traffic_Score,Congestion_Level,Weather,Accident,Road_Work,Event_Name,Event_Impact_Level,Holiday_Traffic_Score,Final_Congestion_Score
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,10:00,104,15,86,Severe,Cloudy,No,No,Pune Festival,High,103.2,86
01-01-2025,Wednesday,No,Yes,Yerwada,18.55,73.89,21:00,176,15,86,Severe,Clear,No,No,College Fest,Medium,103.2,86
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,11:00,133,15,85,Severe,Cloudy,Yes,Yes,Local Fair,Low,102,85
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,00:00,108,15,85,Severe,Clear,No,No,None,None,102,85
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,04:00,313,15,85,Severe,Rain,No,No,None,None,102,85
01-01-2025,Wednesday,No,Yes,Yerwada,18.55,73.89,14:00,163,15,85,Severe,Cloudy,No,No,Cricket Match,High,102,85
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,16:00,162,17,84.6,Severe,Rain,No,Yes,College Fest,Medium,101.52,84.6
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,03:00,297,15,84,Severe,Cloudy,Yes,No,College Fest,Medium,100.8,84
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,20:00,256,16,83.8,Severe,Cloudy,No,Yes,Cricket Match,High,100.56,83.8
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,09:00,308,18,83.4,Severe,Cloudy,Yes,No,Pune Festival,High,100.08,83.4
01-01-2025,Wednesday,No,Yes,Pashan,18.54,73.79,02:00,185,15,83,Sever+L58:M61,Clear,No,No,College Fest,Medium,99.6,83
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,15:00,256,16,82.8,Severe,Cloudy,Yes,No,None,None,99.36,82.8
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,05:00,178,17,82.6,Severe,Rain,No,No,Cricket Match,High,99.12,82.6
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,15:00,242,17,82.6,Severe,Rain,Yes,No,College Fest,Medium,99.12,82.6
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,17:00,334,18,82.4,Severe,Fog,Yes,Yes,None,None,98.88,82.4
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,12:00,339,19,82.2,Severe,Rain,Yes,No,Pune Festival,High,98.64,82.2
01-01-2025,Wednesday,No,Yes,Hinjewadi,18.5933,73.7388,18:00,342,15,82,Severe,Clear,No,No,Cricket Match,High,98.4,82
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,13:00,121,15,82,Severe,Rain,No,Yes,College Fest,Medium,98.4,82
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,18:00,184,16,81.8,Severe,Cloudy,No,Yes,None,None,98.16,81.8
